Date : 2020-03-25 13:39:36
Directory : /home/pra-va/programavimas/4-projektas/front
Total : 132 files,  34450 codes, 155 comments, 2480 blanks, all 37085 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          3 |     15,740 |          0 |          3 |     15,743 |
| Log        |          1 |     10,150 |          0 |      1,530 |     11,680 |
| JavaScript |         82 |      7,574 |         85 |        811 |      8,470 |
| XML        |         16 |        445 |          7 |          8 |        460 |
| CSS        |         26 |        320 |         40 |         82 |        442 |
| Markdown   |          3 |        201 |          0 |         45 |        246 |
| HTML       |          1 |         20 |         23 |          1 |         44 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                  | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                     |        132 |     34,450 |        155 |      2,480 |     37,085 |
| .VSCodeCounter                                                                                                                                        |          2 |        164 |          0 |         13 |        177 |
| public                                                                                                                                                |          2 |         45 |         23 |          2 |         70 |
| src                                                                                                                                                   |        124 |      8,339 |        132 |        901 |      9,372 |
| src/components                                                                                                                                        |        103 |      7,736 |         73 |        869 |      8,678 |
| src/components/0-MainWindow                                                                                                                           |          2 |         32 |          0 |         10 |         42 |
| src/components/1-Errors                                                                                                                               |          1 |          5 |          0 |          3 |          8 |
| src/components/2-LoginForm                                                                                                                            |          6 |        450 |          1 |         56 |        507 |
| src/components/2-LoginForm/Components                                                                                                                 |          4 |        344 |          0 |         39 |        383 |
| src/components/2-LoginForm/Components/CreateInitialUser                                                                                               |          3 |        241 |          0 |         31 |        272 |
| src/components/2-LoginForm/Components/CreateInitialUser/FormComponents                                                                                |          1 |        114 |          0 |         16 |        130 |
| src/components/2-LoginForm/Components/LoginPresentation                                                                                               |          1 |        103 |          0 |          8 |        111 |
| src/components/3-UserPage                                                                                                                             |         35 |      2,567 |         36 |        282 |      2,885 |
| src/components/3-UserPage/01-MainWindow                                                                                                               |          6 |        418 |          0 |         57 |        475 |
| src/components/3-UserPage/01-MainWindow/01-Navigation                                                                                                 |          3 |        250 |          0 |         38 |        288 |
| src/components/3-UserPage/01-MainWindow/02-Main                                                                                                       |          2 |        134 |          0 |         13 |        147 |
| src/components/3-UserPage/02-Profile                                                                                                                  |          3 |        151 |          0 |         19 |        170 |
| src/components/3-UserPage/02-Profile/Components                                                                                                       |          2 |         93 |          0 |         14 |        107 |
| src/components/3-UserPage/03-CreateDocument                                                                                                           |          6 |        502 |          1 |         56 |        559 |
| src/components/3-UserPage/03-CreateDocument/Components                                                                                                |          4 |        248 |          1 |         32 |        281 |
| src/components/3-UserPage/04-SignDocument                                                                                                             |          4 |        358 |          0 |         33 |        391 |
| src/components/3-UserPage/04-SignDocument/AcceptOrReject                                                                                              |          1 |        190 |          0 |         14 |        204 |
| src/components/3-UserPage/05-MyDocuments                                                                                                              |         16 |      1,138 |         35 |        117 |      1,290 |
| src/components/3-UserPage/05-MyDocuments/Components                                                                                                   |          4 |        320 |         32 |         28 |        380 |
| src/components/3-UserPage/05-MyDocuments/EditDocument                                                                                                 |          8 |        609 |          0 |         74 |        683 |
| src/components/3-UserPage/05-MyDocuments/EditDocument/Components                                                                                      |          6 |        263 |          0 |         43 |        306 |
| src/components/3-UserPage/05-MyDocuments/ViewDocument                                                                                                 |          2 |        110 |          3 |          6 |        119 |
| src/components/4-Admin                                                                                                                                |         34 |      3,255 |          8 |        350 |      3,613 |
| src/components/4-Admin/1-NewUser                                                                                                                      |          5 |        445 |          0 |         50 |        495 |
| src/components/4-Admin/1-NewUser/FormComponents                                                                                                       |          3 |        298 |          0 |         32 |        330 |
| src/components/4-Admin/2-NewGroup                                                                                                                     |          4 |        478 |          1 |         52 |        531 |
| src/components/4-Admin/2-NewGroup/FormComponents                                                                                                      |          3 |        350 |          1 |         38 |        389 |
| src/components/4-Admin/3and4-UsersAndGroups                                                                                                           |         14 |      1,304 |          4 |        144 |      1,452 |
| src/components/4-Admin/3and4-UsersAndGroups/3-Users                                                                                                   |          6 |        463 |          0 |         56 |        519 |
| src/components/4-Admin/3and4-UsersAndGroups/3-Users/EditUserModal                                                                                     |          5 |        453 |          0 |         53 |        506 |
| src/components/4-Admin/3and4-UsersAndGroups/3-Users/EditUserModal/FormComponents                                                                      |          3 |        323 |          0 |         34 |        357 |
| src/components/4-Admin/3and4-UsersAndGroups/4-Groups                                                                                                  |          5 |        537 |          2 |         59 |        598 |
| src/components/4-Admin/3and4-UsersAndGroups/4-Groups/EditGroupModal                                                                                   |          4 |        527 |          2 |         56 |        585 |
| src/components/4-Admin/3and4-UsersAndGroups/4-Groups/EditGroupModal/FormComponents                                                                    |          3 |        416 |          2 |         41 |        459 |
| src/components/4-Admin/5-DocTypes                                                                                                                     |          6 |        534 |          2 |         55 |        591 |
| src/components/4-Admin/5-DocTypes/EditDocType                                                                                                         |          3 |        331 |          1 |         34 |        366 |
| src/components/4-Admin/5-DocTypes/EditDocType/FormComponents                                                                                          |          2 |        232 |          1 |         20 |        253 |
| src/components/4-Admin/6-NewDocType                                                                                                                   |          3 |        316 |          1 |         32 |        349 |
| src/components/4-Admin/6-NewDocType/FormComponents                                                                                                    |          2 |        215 |          1 |         19 |        235 |
| src/components/5-Context                                                                                                                              |          1 |          3 |          0 |          3 |          6 |
| src/components/6-CommonElements                                                                                                                       |         21 |        993 |         27 |        130 |      1,150 |
| src/components/6-CommonElements/1-BasicTable                                                                                                          |          4 |         61 |          0 |         15 |         76 |
| src/components/6-CommonElements/1-BasicTable/1-TableHead                                                                                              |          1 |         18 |          0 |          4 |         22 |
| src/components/6-CommonElements/1-BasicTable/2-TableBody                                                                                              |          2 |         29 |          0 |          8 |         37 |
| src/components/6-CommonElements/1-BasicTable/2-TableBody/TableRow                                                                                     |          1 |         14 |          0 |          5 |         19 |
| src/components/6-CommonElements/10-TopContentWrapper                                                                                                  |          2 |         14 |          0 |          4 |         18 |
| src/components/6-CommonElements/11-Alert                                                                                                              |          2 |         33 |          1 |          6 |         40 |
| src/components/6-CommonElements/2-AdvancedTable                                                                                                       |          3 |        297 |         16 |         35 |        348 |
| src/components/6-CommonElements/3-FormSingleInput                                                                                                     |          1 |        172 |          4 |         14 |        190 |
| src/components/6-CommonElements/4-Buttons                                                                                                             |          1 |         31 |          0 |          6 |         37 |
| src/components/6-CommonElements/4-Buttons/1-AddRemove                                                                                                 |          1 |         31 |          0 |          6 |         37 |
| src/components/6-CommonElements/5-FormInputValidationLine                                                                                             |          1 |         24 |          1 |          3 |         28 |
| src/components/6-CommonElements/6-CheckBox                                                                                                            |          2 |         39 |          3 |          8 |         50 |
| src/components/6-CommonElements/8-PopOver                                                                                                             |          2 |         28 |          1 |          6 |         35 |
| src/components/6-CommonElements/9-AddRemoveDocType                                                                                                    |          3 |        294 |          1 |         33 |        328 |
| src/components/6-CommonElements/9-AddRemoveDocType/Components                                                                                         |          2 |         91 |          0 |         16 |        107 |
| src/components/7-properties                                                                                                                           |          1 |          2 |          1 |          2 |          5 |
| src/components/8-Statistics                                                                                                                           |          2 |        429 |          0 |         33 |        462 |
| src/resources                                                                                                                                         |         16 |        445 |          7 |          8 |        460 |
| src/resources/Admin                                                                                                                                   |          7 |        199 |          3 |          4 |        206 |
| src/tests                                                                                                                                             |          2 |          9 |          4 |          3 |         16 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                              | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /home/pra-va/programavimas/4-projektas/front/.VSCodeCounter/details.md                                                                                | Markdown   |        100 |          0 |          6 |        106 |
| /home/pra-va/programavimas/4-projektas/front/.VSCodeCounter/results.md                                                                                | Markdown   |         64 |          0 |          7 |         71 |
| /home/pra-va/programavimas/4-projektas/front/README.md                                                                                                | Markdown   |         37 |          0 |         32 |         69 |
| /home/pra-va/programavimas/4-projektas/front/package-lock.json                                                                                        | JSON       |     15,660 |          0 |          1 |     15,661 |
| /home/pra-va/programavimas/4-projektas/front/package.json                                                                                             | JSON       |         55 |          0 |          1 |         56 |
| /home/pra-va/programavimas/4-projektas/front/public/index.html                                                                                        | HTML       |         20 |         23 |          1 |         44 |
| /home/pra-va/programavimas/4-projektas/front/public/manifest.json                                                                                     | JSON       |         25 |          0 |          1 |         26 |
| /home/pra-va/programavimas/4-projektas/front/src/components/0-MainWindow/App.css                                                                      | CSS        |         26 |          0 |          7 |         33 |
| /home/pra-va/programavimas/4-projektas/front/src/components/0-MainWindow/App.js                                                                       | JavaScript |          6 |          0 |          3 |          9 |
| /home/pra-va/programavimas/4-projektas/front/src/components/1-Errors/PageNotFound.js                                                                  | JavaScript |          5 |          0 |          3 |          8 |
| /home/pra-va/programavimas/4-projektas/front/src/components/2-LoginForm/Components/CreateInitialUser/FormComponents/1-UserInformation.js              | JavaScript |        114 |          0 |         16 |        130 |
| /home/pra-va/programavimas/4-projektas/front/src/components/2-LoginForm/Components/CreateInitialUser/NewUser.css                                      | CSS        |          3 |          0 |          1 |          4 |
| /home/pra-va/programavimas/4-projektas/front/src/components/2-LoginForm/Components/CreateInitialUser/NewUser.js                                       | JavaScript |        124 |          0 |         14 |        138 |
| /home/pra-va/programavimas/4-projektas/front/src/components/2-LoginForm/Components/LoginPresentation/LoginFormPresentation.js                         | JavaScript |        103 |          0 |          8 |        111 |
| /home/pra-va/programavimas/4-projektas/front/src/components/2-LoginForm/Form.css                                                                      | CSS        |         28 |          1 |          7 |         36 |
| /home/pra-va/programavimas/4-projektas/front/src/components/2-LoginForm/LoginForm.js                                                                  | JavaScript |         78 |          0 |         10 |         88 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/01-MainWindow/01-Navigation/Navigation.css                                     | CSS        |         44 |          0 |         10 |         54 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/01-MainWindow/01-Navigation/Navigation.js                                      | JavaScript |         60 |          0 |          8 |         68 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/01-MainWindow/01-Navigation/NavigationPresentation.js                          | JavaScript |        146 |          0 |         20 |        166 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/01-MainWindow/02-Main/Main.css                                                 | CSS        |         33 |          0 |          7 |         40 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/01-MainWindow/02-Main/Main.js                                                  | JavaScript |        101 |          0 |          6 |        107 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/01-MainWindow/HomePage.js                                                      | JavaScript |         34 |          0 |          6 |         40 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/02-Profile/Components/1-UsernameReciever.js                                    | JavaScript |         17 |          0 |          5 |         22 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/02-Profile/Components/2-UserDetails.js                                         | JavaScript |         76 |          0 |          9 |         85 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/02-Profile/UsersProfile.js                                                     | JavaScript |         58 |          0 |          5 |         63 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/03-CreateDocument/Components/1-EditInfo.js                                     | JavaScript |         54 |          0 |          7 |         61 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/03-CreateDocument/Components/2-SelectDocType.js                                | JavaScript |        113 |          1 |         12 |        126 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/03-CreateDocument/Components/3-AttachFiles.js                                  | JavaScript |         29 |          0 |          4 |         33 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/03-CreateDocument/Components/4-AttachedFiles.js                                | JavaScript |         52 |          0 |          9 |         61 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/03-CreateDocument/CreateDocument.css                                           | CSS        |         11 |          0 |          2 |         13 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/03-CreateDocument/CreateDocument.js                                            | JavaScript |        243 |          0 |         22 |        265 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/04-SignDocument/AcceptOrReject/AcceptOrReject.js                               | JavaScript |        190 |          0 |         14 |        204 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/04-SignDocument/SignDocument.css                                               | CSS        |          3 |          0 |          1 |          4 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/04-SignDocument/SignDocuments.js                                               | JavaScript |        142 |          0 |         14 |        156 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/04-SignDocument/SignOrRejectButton.js                                          | JavaScript |         23 |          0 |          4 |         27 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/Components/EditDocButton.js                                     | JavaScript |         27 |          0 |          4 |         31 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/Components/MyDocsTable.css                                      | CSS        |          6 |         32 |          2 |         40 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/Components/MyDocsTable.js                                       | JavaScript |        264 |          0 |         18 |        282 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/Components/ViewButton.js                                        | JavaScript |         23 |          0 |          4 |         27 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/EditDocument/Components/1-EditInfo.js                           | JavaScript |         54 |          0 |          7 |         61 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/EditDocument/Components/2-SelectDocType.js                      | JavaScript |         97 |          0 |         12 |        109 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/EditDocument/Components/3-AttachFiles.js                        | JavaScript |         29 |          0 |          4 |         33 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/EditDocument/Components/4-AttachedFiles.js                      | JavaScript |         50 |          0 |          9 |         59 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/EditDocument/Components/AttachFiles.css                         | CSS        |          3 |          0 |          1 |          4 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/EditDocument/Components/Table.css                               | CSS        |         30 |          0 |         10 |         40 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/EditDocument/EditDocument.css                                   | CSS        |         12 |          0 |          3 |         15 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/EditDocument/EditDocument.js                                    | JavaScript |        334 |          0 |         28 |        362 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/MyDocuments.css                                                 | CSS        |          3 |          0 |          1 |          4 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/MyDocuments.js                                                  | JavaScript |         96 |          0 |          8 |        104 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/ViewDocument/ViewDocument.css                                   | CSS        |          0 |          3 |          1 |          4 |
| /home/pra-va/programavimas/4-projektas/front/src/components/3-UserPage/05-MyDocuments/ViewDocument/ViewDocument.js                                    | JavaScript |        110 |          0 |          5 |        115 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/1-NewUser/FormComponents/1-UserInformation.js                                     | JavaScript |        179 |          0 |         17 |        196 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/1-NewUser/FormComponents/2-Groups.css                                             | CSS        |          8 |          0 |          2 |         10 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/1-NewUser/FormComponents/2-Groups.js                                              | JavaScript |        111 |          0 |         13 |        124 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/1-NewUser/NewUser.css                                                             | CSS        |          3 |          0 |          1 |          4 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/1-NewUser/NewUser.js                                                              | JavaScript |        144 |          0 |         17 |        161 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/2-NewGroup/FormComponents/1-GroupInformation.js                                   | JavaScript |         80 |          0 |          9 |         89 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/2-NewGroup/FormComponents/2-AddUsersToGroup.js                                    | JavaScript |        102 |          1 |         14 |        117 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/2-NewGroup/FormComponents/3-AddDocTypes.js                                        | JavaScript |        168 |          0 |         15 |        183 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/2-NewGroup/NewGroup.js                                                            | JavaScript |        128 |          0 |         14 |        142 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/3-Users/EditUserModal/EditUser.css                           | CSS        |          3 |          0 |          1 |          4 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/3-Users/EditUserModal/EditUser.js                            | JavaScript |        127 |          0 |         18 |        145 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/3-Users/EditUserModal/FormComponents/1-UserInformation.js    | JavaScript |        196 |          0 |         18 |        214 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/3-Users/EditUserModal/FormComponents/2-Groups.css            | CSS        |          8 |          0 |          2 |         10 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/3-Users/EditUserModal/FormComponents/2-Groups.js             | JavaScript |        119 |          0 |         14 |        133 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/3-Users/ListOfUsers.js                                       | JavaScript |         10 |          0 |          3 |         13 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/4-Groups/EditGroupModal/EditGroup.js                         | JavaScript |        111 |          0 |         15 |        126 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/4-Groups/EditGroupModal/FormComponents/1-GroupInformation.js | JavaScript |         80 |          0 |          9 |         89 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/4-Groups/EditGroupModal/FormComponents/2-AddUsersToGroup.js  | JavaScript |        163 |          1 |         17 |        181 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/4-Groups/EditGroupModal/FormComponents/3-AddDocTypes.js      | JavaScript |        173 |          1 |         15 |        189 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/4-Groups/ListOfGroups.js                                     | JavaScript |         10 |          0 |          3 |         13 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/EditTableItemButton.js                                       | JavaScript |         40 |          1 |          7 |         48 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/UsersAndGroups.css                                           | CSS        |         14 |          0 |          4 |         18 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/3and4-UsersAndGroups/UsersAndGroups.js                                            | JavaScript |        250 |          1 |         18 |        269 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/5-DocTypes/DocTypes.css                                                           | CSS        |          3 |          0 |          1 |          4 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/5-DocTypes/DocTypes.js                                                            | JavaScript |        170 |          0 |         13 |        183 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/5-DocTypes/EditButton.js                                                          | JavaScript |         30 |          1 |          7 |         38 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/5-DocTypes/EditDocType/EditDocType.js                                             | JavaScript |         99 |          0 |         14 |        113 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/5-DocTypes/EditDocType/FormComponents/1-DocInfo.js                                | JavaScript |         50 |          0 |          5 |         55 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/5-DocTypes/EditDocType/FormComponents/2-AssignRights.js                           | JavaScript |        182 |          1 |         15 |        198 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/6-NewDocType/FormComponents/1-DocInfo.js                                          | JavaScript |         50 |          0 |          5 |         55 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/6-NewDocType/FormComponents/2-AssignRights.js                                     | JavaScript |        165 |          1 |         14 |        180 |
| /home/pra-va/programavimas/4-projektas/front/src/components/4-Admin/6-NewDocType/NewDocType.js                                                        | JavaScript |        101 |          0 |         13 |        114 |
